"timestamp","GazeVec3","PosiVec3"
2023-10-21 12:46:09,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","5.510830879211426,4.451247692108154,8.520230293273926"
2023-10-21 12:46:09,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","5.083086013793945,4.090939044952393,7.797504901885986"
2023-10-21 12:46:09,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","4.6876115798950195,3.7578132152557373,7.129304885864258"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","4.449997901916504,3.5576605796813965,6.7278289794921875"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","3.9383950233459473,3.1267144680023193,5.8634161949157715"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","3.6292805671691895,2.8663337230682373,5.341131210327148"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","3.20878005027771,2.51212739944458,4.630646705627441"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","2.9547104835510254,2.2981131076812744,4.201366901397705"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","2.719809055328369,2.1002449989318848,3.8044731616973877"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","2.4002633094787598,1.8310774564743042,3.2645633220672607"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","2.00777268409729,1.5004651546478271,2.601404905319214"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","1.8117316961288452,1.3353309631347656,2.2701706886291504"
2023-10-21 12:46:08,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","1.499672532081604,1.0724695920944214,1.7429102659225464"
2023-10-21 12:45:57,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","1.1469581127166748,0.7753623723983765,1.1469581127166748"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.523867607116699,3.5285820960998535,1.5337903499603271"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","7.965029716491699,4.102341651916504,2.0600733757019043"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.280545234680176,4.512690544128418,2.436467170715332"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.614348411560059,4.9468231201171875,2.834676504135132"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","8.967497825622559,5.406116962432861,3.2559657096862793"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","9.73638916015625,6.40610933303833,4.173212051391602"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","10.154571533203125,6.949982643127441,4.672081470489502"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","10.372665405273438,7.233628273010254,4.932256698608398"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","11.309161186218262,8.4516019821167,6.049447059631348"
2023-10-21 12:19:31,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","12.357359886169434,9.814851760864258,7.299892902374268"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","12.927452087402344,10.556293487548828,7.979982376098633"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","13.530585289001465,11.340707778930664,8.69948959350586"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","16.313547134399414,14.960128784179688,12.019415855407715"
2023-10-21 12:19:30,"-0.6123724504618938,-0.5000000895086837,-0.6123723478461481","17.52984046936035,16.5419979095459,13.470390319824219"
